DOY,SST
60,-1.27
61,-1.26
62,-1.27
63,-1.26
64,-1.24
65,-1.22
66,-1.22
67,-1.24
68,-1.27
69,-1.24
70,-1.22
71,-1.24
72,-1.29
73,-1.32
74,-1.35
75,-1.36
76,-1.37
77,-1.36
78,-1.35
79,-1.33
80,-1.35
81,-1.37
82,-1.39
83,-1.39
84,-1.36
85,-1.38
86,-1.38
87,-1.35
88,-1.32
89,-1.31
90,-1.23
91,-1.22
92,-1.22
93,-1.2
94,-1.18
95,-1.13
96,-1.11
97,-1.09
98,-1.09
99,-1.1
100,-1.1
101,-1.11
102,-1.07
103,-0.93
104,-0.84
105,-0.78
106,-0.73
107,-0.68
108,-0.68
109,-0.61
110,-0.47
111,-0.39
112,-0.3
113,-0.21
114,-0.14
115,-0.06
116,0.08
117,0.16
118,0.23
119,0.3
120,0.36
121,0.43
122,0.67
123,0.79
124,0.85
125,0.95
126,1.06
127,1.12
128,1.26
129,1.37
130,1.53
131,1.67
132,1.7
133,1.75
134,1.87
135,1.9
136,2.05
137,2.25
138,2.31
139,2.54
140,2.72
141,2.69
142,2.88
143,2.93
144,3.16
145,3.29
146,3.29
147,3.43
148,3.62
149,3.83
150,3.96
151,4.16
152,4.4
153,4.58
154,4.78
155,4.9
156,5.06
157,5.38
158,5.51
159,5.53
160,5.65
161,5.72
162,5.84
163,6.02
164,6.13
165,6.22
166,6.32
167,6.46
168,6.58
169,6.62
170,6.77
171,6.89
172,7.1
173,7.13
174,7.21
175,7.38
176,7.36
177,7.36
178,7.59
179,7.58
180,7.6
181,7.73
182,7.83
183,8.06
184,8.36
185,8.35
186,8.41
187,8.79
188,8.81
189,8.8
190,9.18
191,9.45
192,9.5
193,9.61
194,9.66
195,9.72
196,9.82
197,9.88
198,9.9
199,10.14
200,10.26
201,10.39
202,10.36
203,10.22
204,10.31
205,10.44
206,10.43
207,10.35
208,10.39
209,10.56
210,10.75
211,10.87
212,10.99
213,11.02
