Time,SST
20030301,-0.48
20030302,-0.41
20030303,-0.48
20030304,-0.5
20030305,-0.51
20030306,-0.51
20030307,-0.58
20030308,-0.75
20030309,-0.79
20030310,-0.58
20030311,-0.51
20030312,-0.61
20030313,-0.89
20030314,-1.18
20030315,-1.52
20030316,-1.63
20030317,-1.68
20030318,-1.7
20030319,-1.75
20030320,-1.78
20030321,-1.79
20030322,-1.78
20030323,-1.79
20030324,-1.76
20030325,-1.72
20030326,-1.74
20030327,-1.77
20030328,-1.74
20030329,-1.72
20030330,-1.69
20030331,-1.67
20030401,-1.56
20030402,-1.45
20030403,-1.53
20030404,-1.47
20030405,-1.41
20030406,-1.38
20030407,-1.29
20030408,-1.28
20030409,-1.33
20030410,-1.53
20030411,-1.52
20030412,-1.29
20030413,-1.3
20030414,-1.44
20030415,-1.15
20030416,-1.13
20030417,-1.26
20030418,-1.24
20030419,-1.24
20030420,-1.31
20030421,-1.34
20030422,-0.71
20030423,-0.49
20030424,-0.39
20030425,-0.39
20030426,-0.03
20030427,0.14
20030428,-0.18
20030429,-0.19
20030430,-0.08
20030501,0.16
20030502,0.52
20030503,0.45
20030504,0.35
20030505,0.22
20030506,0.32
20030507,0.6
20030508,1
20030509,1.09
20030510,1.14
20030511,1.36
20030512,1.32
20030513,1.32
20030514,1.33
20030515,1.81
20030516,2.12
20030517,2.06
20030518,2.05
20030519,2.43
20030520,2.47
20030521,2.85
20030522,2.93
20030523,3.07
20030524,2.96
20030525,2.86
20030526,2.76
20030527,2.9
20030528,3.07
20030529,3.71
20030530,4.34
20030531,4.6
20030601,4.67
20030602,4.93
20030603,5.21
20030604,5.32
20030605,5.4
20030606,5.96
20030607,5.88
20030608,5.8
20030609,5.73
20030610,5.87
20030611,6.21
20030612,6.43
20030613,5.22
20030614,5.94
20030615,6.2
20030616,6.32
20030617,5.95
20030618,6.34
20030619,6.49
20030620,6.59
20030621,6.71
20030622,6.46
20030623,6.51
20030624,7.44
20030625,8.18
20030626,8.42
20030627,8.71
20030628,8.79
20030629,8.51
20030630,7.82
20030701,6.42
20030702,6.27
20030703,6.67
20030704,6.86
20030705,7.19
20030706,7.55
20030707,8
20030708,7.92
20030709,8.09
20030710,8.2
20030711,8.32
20030712,8.26
20030713,8.57
20030714,8.92
20030715,9.27
20030716,9.28
20030717,9.1
20030718,8.99
20030719,9.12
20030720,9.42
20030721,9.43
20030722,9.3
20030723,9.36
20030724,9.46
20030725,9.74
20030726,10.02
20030727,10
20030728,10.1
20030729,10.1
20030730,10.34
20030731,10.52
20040301,-1.33
20040302,-1.31
20040303,-1.14
20040304,-1.17
20040305,-1.48
20040306,-1.49
20040307,-1.51
20040308,-1.56
20040309,-1.66
20040310,-1.6
20040311,-1.55
20040312,-1.58
20040313,-1.71
20040314,-1.73
20040315,-1.68
20040316,-1.53
20040317,-1.5
20040318,-1.72
20040319,-1.76
20040320,-1.78
20040321,-1.78
20040322,-1.74
20040323,-1.72
20040324,-1.63
20040325,-1.52
20040326,-1.62
20040327,-1.68
20040328,-1.72
20040329,-1.78
20040330,-1.8
20040331,-1.8
20040401,-1.79
20040402,-1.77
20040403,-1.74
20040404,-1.7
20040405,-1.61
20040406,-1.6
20040407,-1.64
20040408,-1.55
20040409,-1.45
20040410,-1.47
20040411,-1.48
20040412,-1.48
20040413,-1.49
20040414,-1.06
20040415,-1.08
20040416,-1.08
20040417,-0.97
20040418,-1.09
20040419,-1.23
20040420,-1.29
20040421,-1.18
20040422,-0.98
20040423,-0.96
20040424,-0.95
20040425,-0.83
20040426,0.26
20040427,0.4
20040428,0.49
20040429,0.36
20040430,0.05
20040501,-0.23
20040502,0.51
20040503,0.88
20040504,1.13
20040505,1.02
20040506,0.51
20040507,0.24
20040508,0.38
20040509,0.73
20040510,0.91
20040511,1.2
20040512,1.44
20040513,1.5
20040514,1.76
20040515,1.42
20040516,2
20040517,1.99
20040518,1.98
20040519,2.2
20040520,2.35
20040521,2.43
20040522,2.43
20040523,2.42
20040524,2.29
20040525,2.36
20040526,2.63
20040527,3.23
20040528,3.59
20040529,3.82
20040530,3.87
20040531,3.65
20040601,3.54
20040602,4.07
20040603,4.42
20040604,4.65
20040605,4.98
20040606,4.98
20040607,4.79
20040608,4.66
20040609,5.92
20040610,6.07
20040611,6.28
20040612,6.26
20040613,6.25
20040614,6.21
20040615,5.98
20040616,5.99
20040617,6.2
20040618,6.33
20040619,6.35
20040620,6.41
20040621,6.25
20040622,5.96
20040623,5.51
20040624,6.32
20040625,7.03
20040626,7.49
20040627,7.57
20040628,7.81
20040629,8.34
20040630,8.68
20040701,8.77
20040702,8.66
20040703,8.41
20040704,8.18
20040705,7.84
20040706,7.86
20040707,8.08
20040708,8.35
20040709,8.74
20040710,8.82
20040711,9.05
20040712,9.33
20040713,9.74
20040714,10.06
20040715,10.14
20040716,10.29
20040717,10.34
20040718,10.41
20040719,10.44
20040720,10.3
20040721,10.51
20040722,10.75
20040723,10.98
20040724,10.43
20040725,9.92
20040726,10.32
20040727,10.95
20040728,11.1
20040729,11.07
20040730,10.98
20040731,11.65
20050301,-1.74
