Time,SST
20030301,0.52
20030302,0.49
20030303,0.52
20030304,0.68
20030305,0.52
20030306,0.48
20030307,0.59
20030308,0.68
20030309,0.65
20030310,0.79
20030311,0.87
20030312,0.79
20030313,0.15
20030314,-0.27
20030315,-1.04
20030316,-1.35
20030317,-1.55
20030318,-1.57
20030319,-1.67
20030320,-1.75
20030321,-1.77
20030322,-1.76
20030323,-1.75
20030324,-1.69
20030325,-1.63
20030326,-1.65
20030327,-1.68
20030328,-1.61
20030329,-1.61
20030330,-1.63
20030331,-1.55
20030401,-1.19
20030402,-1.16
20030403,-1.36
20030404,-1.36
20030405,-1.18
20030406,-1.15
20030407,-1.16
20030408,-1.1
20030409,-1.07
20030410,-1.44
20030411,-1.54
20030412,-1.52
20030413,-0.87
20030414,-0.75
20030415,-0.67
20030416,-0.67
20030417,-0.85
20030418,-0.81
20030419,-0.85
20030420,-0.95
20030421,-0.98
20030422,-0.3
20030423,-0.1
20030424,-0.08
20030425,-0.07
20030426,0.07
20030427,0.15
20030428,-0.08
20030429,-0.2
20030430,-0.05
20030501,0.57
20030502,1.11
20030503,0.95
20030504,0.8
20030505,0.61
20030506,0.73
20030507,0.92
20030508,1.36
20030509,1.48
20030510,1.44
20030511,1.52
20030512,1.5
20030513,1.55
20030514,1.61
20030515,1.83
20030516,1.97
20030517,1.86
20030518,1.84
20030519,2.43
20030520,2.57
20030521,2.99
20030522,2.99
20030523,3.08
20030524,3.21
20030525,3.17
20030526,3.08
20030527,3.17
20030528,3.72
20030529,3.94
20030530,4.39
20030531,4.53
20030601,4.62
20030602,5.05
20030603,5.11
20030604,5.11
20030605,5.13
20030606,5.37
20030607,5.73
20030608,5.41
20030609,5.26
20030610,5.75
20030611,5.92
20030612,6.03
20030613,5.86
20030614,6.25
20030615,6.35
20030616,6.3
20030617,6.11
20030618,6.14
20030619,6.1
20030620,6.2
20030621,6.37
20030622,6.25
20030623,6.29
20030624,7.39
20030625,7.21
20030626,7.14
20030627,7.38
20030628,7.52
20030629,7.61
20030630,7.91
20030701,6.48
20030702,6.44
20030703,6.88
20030704,6.85
20030705,7.32
20030706,7.66
20030707,8.1
20030708,8.1
20030709,8.31
20030710,8.4
20030711,8.36
20030712,8.24
20030713,8.34
20030714,8.76
20030715,9.35
20030716,9.32
20030717,9.17
20030718,8.91
20030719,9.06
20030720,9.41
20030721,9.56
20030722,9.57
20030723,9.81
20030724,9.84
20030725,9.82
20030726,9.83
20030727,9.71
20030728,9.59
20030729,9.64
20030730,10.09
20030731,10.59
20040301,-1.5
20040302,-1.52
20040303,-1.17
20040304,-0.92
20040305,-1.39
20040306,-1.44
20040307,-1.41
20040308,-1.51
20040309,-1.62
20040310,-1.55
20040311,-1.49
20040312,-1.44
20040313,-1.6
20040314,-1.57
20040315,-1.6
20040316,-1.53
20040317,-1.26
20040318,-1.47
20040319,-1.68
20040320,-1.73
20040321,-1.77
20040322,-1.77
20040323,-1.74
20040324,-1.59
20040325,-1.54
20040326,-1.68
20040327,-1.73
20040328,-1.73
20040329,-1.77
20040330,-1.78
