DOY,Qnet
1,-6.94681818181818
2,-7.70772727272727
3,-8.10954545454546
4,-7.9
5,-7.03727272727273
6,-7.17363636363636
7,-8.81818181818182
8,-7.66681818181818
9,-5.62136363636364
10,-5.50454545454545
11,-6.27545454545454
12,-5.71863636363636
13,-5.24727272727273
14,-4.74045454545455
15,-4.32818181818182
16,-5.75909090909091
17,-7.75636363636364
18,-8.29681818181818
19,-7.20227272727273
20,-7.36545454545455
21,-7.60409090909091
22,-9.03636363636364
23,-7.92909090909091
24,-5.18227272727273
25,-5.95681818181818
26,-7.14045454545455
27,-6.96136363636364
28,-8.07954545454546
29,-7.71863636363636
30,-5.735
31,-4.70727272727273
32,-4.36363636363636
33,-3.87727272727273
34,-2.805
35,-2.64909090909091
36,-4.495
37,-4.57318181818182
38,-6.20136363636364
39,-4.64863636363636
40,-4.63363636363636
41,-4.71772727272727
42,-4.23818181818182
43,-4.15454545454545
44,-6.54954545454545
45,-5.50409090909091
46,-3.85772727272727
47,-3.23909090909091
48,-3.11090909090909
49,-2.28590909090909
50,-2.90818181818182
51,-2.02545454545455
52,-2.49545454545455
53,-2.36909090909091
54,-1.79181818181818
55,-2.60409090909091
56,-2.70590909090909
57,-2.54409090909091
58,-4.42909090909091
59,-4.39090909090909
60,-4.84181818181818
61,-3.83409090909091
62,-4.79136363636364
63,-2.90045454545455
64,-3.64090909090909
65,-2.585
66,-1.10363636363636
67,-2.98545454545455
68,-3.29772727272727
69,-4.19681818181818
70,-5.06136363636364
71,-4.22727272727273
72,-5.63227272727273
73,-5.71818181818182
74,-5.64818181818182
75,-4.72045454545455
76,-4.04454545454545
77,-4.31590909090909
78,-4.34454545454545
79,-3.34045454545455
80,-3.99727272727273
81,-3.00863636363636
82,-2.00727272727273
83,-1.275
84,-0.513181818181819
85,-1.21636363636364
86,-0.534545454545455
87,-0.304545454545455
88,-0.202727272727273
89,-1.22363636363636
90,-2.05772727272727
91,-0.73
92,-0.274545454545454
93,-0.140909090909091
94,0.479090909090909
95,0.353636363636364
96,-0.124090909090909
97,0.361363636363636
98,-0.230909090909091
99,-0.285909090909091
100,0.655909090909091
101,0.771818181818182
102,1.98681818181818
103,1.27318181818182
104,0.649545454545455
105,2.32363636363636
