DOY,SST
60,-1.44
61,-1.34
62,-1.34
63,-1.36
64,-1.38
65,-1.38
66,-1.36
67,-1.4
68,-1.43
69,-1.45
70,-1.47
71,-1.47
72,-1.49
73,-1.5
74,-1.5
75,-1.52
76,-1.51
77,-1.49
78,-1.49
79,-1.49
80,-1.52
81,-1.56
82,-1.58
83,-1.58
84,-1.52
85,-1.57
86,-1.58
87,-1.56
88,-1.54
89,-1.53
90,-1.48
91,-1.48
92,-1.44
93,-1.42
94,-1.4
95,-1.44
96,-1.44
97,-1.4
98,-1.37
99,-1.35
100,-1.35
101,-1.34
102,-1.29
103,-1.22
104,-1.13
105,-1.06
106,-1.02
107,-1.01
108,-0.98
109,-0.93
110,-0.83
111,-0.73
112,-0.61
113,-0.54
114,-0.51
115,-0.37
116,-0.28
117,-0.17
118,-0.08
119,-0.05
120,-0.01
121,0.1
122,0.18
123,0.3
124,0.39
125,0.47
126,0.52
127,0.59
128,0.74
129,0.88
130,1.13
131,1.16
132,1.23
133,1.26
134,1.35
135,1.47
136,1.57
137,1.79
138,1.92
139,2.2
140,2.35
141,2.41
142,2.58
143,2.66
144,2.87
145,2.95
146,2.88
147,3.05
148,3.32
149,3.59
150,3.81
151,3.96
152,4.1
153,4.34
154,4.53
155,4.64
156,4.8
157,5.03
158,5.16
159,5.18
160,5.37
161,5.46
162,5.62
163,5.83
164,5.85
165,6.09
166,6.34
167,6.33
168,6.33
169,6.34
170,6.62
171,6.75
172,6.87
173,6.83
174,6.96
175,7.11
176,7.18
177,7.25
178,7.32
179,7.32
180,7.3
181,7.44
182,7.6
183,7.72
184,8.09
185,8.13
186,8.15
187,8.49
188,8.7
189,8.72
190,8.99
191,9.07
192,9.17
193,9.2
194,9.48
195,9.54
196,9.53
197,9.55
198,9.65
199,9.93
200,10.03
201,10.05
202,9.93
203,9.86
204,10.03
205,10.11
206,10.1
207,10.02
208,9.99
209,10.09
210,10.35
211,10.43
212,10.6
213,10.86
