DOY,SST
60,-1.11
61,-1.12
62,-1.09
63,-1.09
64,-1.1
65,-1.12
66,-1.1
67,-1.13
68,-1.17
69,-1.19
70,-1.2
71,-1.23
72,-1.25
73,-1.28
74,-1.34
75,-1.36
76,-1.37
77,-1.37
78,-1.36
79,-1.33
80,-1.35
81,-1.37
82,-1.44
83,-1.44
84,-1.39
85,-1.43
86,-1.43
87,-1.38
88,-1.35
89,-1.35
90,-1.29
91,-1.29
92,-1.29
93,-1.27
94,-1.24
95,-1.21
96,-1.2
97,-1.15
98,-1.13
99,-1.15
100,-1.17
101,-1.16
102,-1.12
103,-1.02
104,-0.94
105,-0.84
106,-0.77
107,-0.76
108,-0.72
109,-0.65
110,-0.54
111,-0.46
112,-0.33
113,-0.29
114,-0.26
115,-0.09
116,0.01
117,0.04
118,0.12
119,0.2
120,0.28
121,0.32
122,0.42
123,0.51
124,0.54
125,0.6
126,0.68
127,0.73
128,0.9
129,1.05
130,1.25
131,1.31
132,1.36
133,1.41
134,1.51
135,1.56
136,1.67
137,1.82
138,1.91
139,2.16
140,2.32
141,2.33
142,2.46
143,2.55
144,2.71
145,2.77
146,2.83
147,2.98
148,3.17
149,3.37
150,3.51
151,3.72
152,3.89
153,4.1
154,4.16
155,4.3
156,4.46
157,4.71
158,4.84
159,4.85
160,4.98
161,5.09
162,5.29
163,5.48
164,5.56
165,5.63
166,5.78
167,5.88
168,6
169,6.08
170,6.26
171,6.44
172,6.51
173,6.52
174,6.58
175,6.73
176,6.8
177,6.81
178,6.95
179,7.01
180,7.12
181,7.25
182,7.36
183,7.5
184,7.86
185,7.85
186,7.9
187,8.17
188,8.24
189,8.22
190,8.54
191,8.75
192,8.85
193,8.85
194,9.06
195,9.21
196,9.39
197,9.37
198,9.39
199,9.51
200,9.6
201,9.69
202,9.68
203,9.62
204,9.73
205,9.74
206,9.81
207,9.8
208,9.8
209,9.87
210,10.05
211,10.17
212,10.34
213,10.38
