Time,SST
20030301,-0.66
20030302,-0.58
20030303,-0.66
20030304,-0.58
20030305,-0.7
20030306,-0.93
20030307,-0.98
20030308,-1.08
20030309,-1.15
20030310,-1.06
20030311,-1.05
20030312,-1.13
20030313,-1.3
20030314,-1.48
20030315,-1.63
20030316,-1.62
20030317,-1.65
20030318,-1.66
20030319,-1.73
20030320,-1.74
20030321,-1.75
20030322,-1.73
20030323,-1.73
20030324,-1.67
20030325,-1.63
20030326,-1.67
20030327,-1.72
20030328,-1.68
20030329,-1.66
20030330,-1.67
20030331,-1.63
20030401,-1.48
20030402,-1.44
20030403,-1.52
20030404,-1.31
20030405,-1.26
20030406,-1.32
20030407,-1.37
20030408,-1.46
20030409,-1.48
20030410,-1.53
20030411,-1.56
20030412,-1.55
20030413,-1.32
20030414,-1.23
20030415,-0.84
20030416,-0.83
20030417,-0.98
20030418,-0.84
20030419,-0.94
20030420,-1.07
20030421,-1.05
20030422,-1.34
20030423,-1.11
20030424,-0.64
20030425,-0.32
20030426,-0.15
20030427,0.02
20030428,-0.18
20030429,-0.17
20030430,-0.15
20030501,0.01
20030502,1.08
20030503,1.01
20030504,1
20030505,0.82
20030506,0.89
20030507,1.06
20030508,2.05
20030509,2.24
20030510,2.16
20030511,1.78
20030512,1.4
20030513,1.55
20030514,1.73
20030515,2.07
20030516,2.45
20030517,2.48
20030518,2.5
20030519,2.41
20030520,2.15
20030521,2.55
20030522,2.99
20030523,2.96
20030524,2.94
20030525,3.06
20030526,3.31
20030527,3.25
20030528,2.91
20030529,3.24
20030530,4.21
20030531,4.96
20030601,5.61
20030602,5.7
20030603,5.73
20030604,5.79
20030605,5.85
20030606,6.83
20030607,7.33
20030608,7.16
20030609,6.84
20030610,6.53
20030611,6.62
20030612,6.61
20030613,5.29
20030614,5.89
20030615,6.6
20030616,6.59
20030617,6.03
20030618,6.07
20030619,6.81
20030620,7.04
20030621,7.27
20030622,6.94
20030623,7.02
20030624,8.55
20030625,9.01
20030626,9.28
20030627,9.68
20030628,9.68
20030629,9.11
20030630,8.65
20030701,6.4
20030702,6.14
20030703,6.74
20030704,6.9
20030705,7.58
20030706,7.99
20030707,8.42
20030708,8.45
20030709,8.63
20030710,8.75
20030711,8.73
20030712,8.67
20030713,8.95
20030714,9.21
20030715,9.46
20030716,9.49
20030717,9.29
20030718,9.17
20030719,9.21
20030720,9.51
20030721,9.52
20030722,9.52
20030723,9.72
20030724,9.92
20030725,10.01
20030726,10.11
20030727,10.08
20030728,10.19
20030729,10.2
20030730,10.47
20030731,10.67
20040301,-1.22
20040302,-1.31
20040303,-1.21
20040304,-1.17
20040305,-1.55
20040306,-1.53
20040307,-1.57
20040308,-1.61
20040309,-1.71
20040310,-1.7
20040311,-1.67
20040312,-1.71
20040313,-1.74
20040314,-1.72
20040315,-1.66
20040316,-1.59
20040317,-1.57
20040318,-1.72
20040319,-1.75
20040320,-1.75
20040321,-1.74
20040322,-1.72
20040323,-1.68
20040324,-1.57
20040325,-1.49
20040326,-1.65
20040327,-1.7
20040328,-1.71
20040329,-1.75
20040330,-1.78
20040331,-1.79
20040401,-1.78
20040402,-1.73
