DOY,SST
60,-1.43
61,-1.39
62,-1.4
63,-1.43
64,-1.43
65,-1.47
66,-1.43
67,-1.43
68,-1.46
69,-1.48
70,-1.51
71,-1.53
72,-1.54
73,-1.54
74,-1.53
75,-1.55
76,-1.54
77,-1.55
78,-1.55
79,-1.53
80,-1.54
81,-1.55
82,-1.56
83,-1.56
84,-1.55
85,-1.57
86,-1.57
87,-1.53
88,-1.54
89,-1.53
90,-1.46
91,-1.45
92,-1.41
93,-1.37
94,-1.33
95,-1.33
96,-1.35
97,-1.32
98,-1.31
99,-1.29
100,-1.29
101,-1.29
102,-1.23
103,-1.13
104,-1.03
105,-0.94
106,-0.88
107,-0.84
108,-0.79
109,-0.74
110,-0.55
111,-0.43
112,-0.33
113,-0.29
114,-0.23
115,-0.06
116,0.07
117,0.14
118,0.26
119,0.38
120,0.41
121,0.49
122,0.7
123,0.88
124,1
125,1.11
126,1.17
127,1.18
128,1.36
129,1.56
130,1.75
131,1.83
132,1.9
133,2.02
134,2.07
135,2.05
136,2.15
137,2.39
138,2.54
139,2.79
140,3.01
141,3.02
142,3.18
143,3.22
144,3.41
145,3.61
146,3.59
147,3.65
148,3.9
149,4.21
150,4.43
151,4.65
152,4.78
153,5.12
154,5.22
155,5.43
156,5.58
157,5.87
158,6.04
159,5.95
160,6
161,6.08
162,6.17
163,6.54
164,6.54
165,6.78
166,6.95
167,7.04
168,7
169,6.97
170,7.26
171,7.32
172,7.55
173,7.49
174,7.66
175,7.84
176,7.81
177,7.79
178,7.9
179,7.93
180,7.88
181,7.95
182,8.05
183,8.22
184,8.65
185,8.7
186,8.7
187,8.98
188,9.1
189,9.19
190,9.66
191,9.91
192,10.01
193,10.01
194,10.28
195,10.33
196,10.22
197,10.21
198,10.29
199,10.68
200,10.81
201,10.84
202,10.69
203,10.56
204,10.79
205,10.98
206,10.97
207,10.86
208,10.77
209,10.93
210,11.13
211,11.21
212,11.42
213,11.58
